code,term
109374005,GNH0033_LungCancer_OpenSafelyCodelist
109378008,GNH0033_LungCancer_OpenSafelyCodelist
109383000,GNH0033_LungCancer_OpenSafelyCodelist
109384006,GNH0033_LungCancer_OpenSafelyCodelist
109390005,GNH0033_LungCancer_OpenSafelyCodelist
109832008,GNH0033_LungCancer_OpenSafelyCodelist
109853004,GNH0033_LungCancer_OpenSafelyCodelist
109854005,GNH0033_LungCancer_OpenSafelyCodelist
109855006,GNH0033_LungCancer_OpenSafelyCodelist
109856007,GNH0033_LungCancer_OpenSafelyCodelist
109858008,GNH0033_LungCancer_OpenSafelyCodelist
110013004,GNH0033_LungCancer_OpenSafelyCodelist
112677002,GNH0033_LungCancer_OpenSafelyCodelist
128632008,GNH0033_LungCancer_OpenSafelyCodelist
187631006,GNH0033_LungCancer_OpenSafelyCodelist
187644001,GNH0033_LungCancer_OpenSafelyCodelist
187675005,GNH0033_LungCancer_OpenSafelyCodelist
187681002,GNH0033_LungCancer_OpenSafelyCodelist
187682009,GNH0033_LungCancer_OpenSafelyCodelist
187683004,GNH0033_LungCancer_OpenSafelyCodelist
187685006,GNH0033_LungCancer_OpenSafelyCodelist
187688008,GNH0033_LungCancer_OpenSafelyCodelist
187692001,GNH0033_LungCancer_OpenSafelyCodelist
187693006,GNH0033_LungCancer_OpenSafelyCodelist
187694000,GNH0033_LungCancer_OpenSafelyCodelist
187697007,GNH0033_LungCancer_OpenSafelyCodelist
187698002,GNH0033_LungCancer_OpenSafelyCodelist
187700006,GNH0033_LungCancer_OpenSafelyCodelist
187701005,GNH0033_LungCancer_OpenSafelyCodelist
187702003,GNH0033_LungCancer_OpenSafelyCodelist
187708004,GNH0033_LungCancer_OpenSafelyCodelist
187709007,GNH0033_LungCancer_OpenSafelyCodelist
187716008,GNH0033_LungCancer_OpenSafelyCodelist
187830009,GNH0033_LungCancer_OpenSafelyCodelist
187831008,GNH0033_LungCancer_OpenSafelyCodelist
187838002,GNH0033_LungCancer_OpenSafelyCodelist
187841006,GNH0033_LungCancer_OpenSafelyCodelist
187842004,GNH0033_LungCancer_OpenSafelyCodelist
187843009,GNH0033_LungCancer_OpenSafelyCodelist
187844003,GNH0033_LungCancer_OpenSafelyCodelist
187845002,GNH0033_LungCancer_OpenSafelyCodelist
187846001,GNH0033_LungCancer_OpenSafelyCodelist
187852000,GNH0033_LungCancer_OpenSafelyCodelist
187853005,GNH0033_LungCancer_OpenSafelyCodelist
187854004,GNH0033_LungCancer_OpenSafelyCodelist
187857006,GNH0033_LungCancer_OpenSafelyCodelist
187861000,GNH0033_LungCancer_OpenSafelyCodelist
187862007,GNH0033_LungCancer_OpenSafelyCodelist
187864008,GNH0033_LungCancer_OpenSafelyCodelist
187865009,GNH0033_LungCancer_OpenSafelyCodelist
187866005,GNH0033_LungCancer_OpenSafelyCodelist
187868006,GNH0033_LungCancer_OpenSafelyCodelist
187869003,GNH0033_LungCancer_OpenSafelyCodelist
187870002,GNH0033_LungCancer_OpenSafelyCodelist
189815007,GNH0033_LungCancer_OpenSafelyCodelist
190091005,GNH0033_LungCancer_OpenSafelyCodelist
190096000,GNH0033_LungCancer_OpenSafelyCodelist
190110008,GNH0033_LungCancer_OpenSafelyCodelist
190145000,GNH0033_LungCancer_OpenSafelyCodelist
233940007,GNH0033_LungCancer_OpenSafelyCodelist
239297008,GNH0033_LungCancer_OpenSafelyCodelist
